Hisse Senedi,Tarih,Oran,http://www.ekinvest.com/Site/hisseler/Temettu 01/01/2013-31/12/2015
ENKAI,16.04.2014,1.01
PRKAB,16.04.2014,1.05
BUCIM,15.04.2014,1.04
HLGYO,15.04.2014,1
VERUS,15.04.2014,1.01
KIPA,14.04.2014,3.03
DGZTE,10.04.2014,1.07
KCHOL,9.04.2014,1.02
DOAS,8.04.2014,1.13
SODSN,8.04.2014,1.05
ARENA,7.04.2014,1.05
AYGAZ,7.04.2014,1.07
DOBUR,7.04.2014,1.05
FMIZP,7.04.2014,1.03
HALKB,7.04.2014,1.02
POLTK,7.04.2014,1.04
ULKER,7.04.2014,1.03
ARSAN,4.04.2014,1.2
KOZAL,4.04.2014,1.05
OTKAR,4.04.2014,1.08
TOASO,4.04.2014,1.05
ALBRK,3.04.2014,1.02
SAHOL,2.04.2014,1.01
TKNSA,2.04.2014,1.04
TUPRS,2.04.2014,1.04
YKBNK,2.04.2014,1.02
AKGRT,1.04.2014,1.07
AKSA,1.04.2014,1.1
ARCLK,1.04.2014,1.04
ISATR,1.04.2014,1
ISBTR,1.04.2014,1
ISCTR,1.04.2014,1.03
ISKUR,1.04.2014,1
AKBNK,31.03.2014,1.02
ISGSY,31.03.2014,1.07
KARTN,31.03.2014,1.01
TSKB,31.03.2014,1.03
TTRAK,31.03.2014,1.1
YUNSA,31.03.2014,1.11
AKCNS,28.03.2014,1.07
CIMSA,28.03.2014,1.1
ISFIN,28.03.2014,1.05
ISMEN,28.03.2014,1.07
ISYAT,28.03.2014,1.22
YONGA,28.03.2014,1
IZOCM,27.03.2014,1.04
KUYAS,27.03.2014,16.18
ANHYT,26.03.2014,1.03
TAVHL,26.03.2014,1.03
ISGYO,25.03.2014,1.04
PAGYO,25.03.2014,1.09
BRISA,24.03.2014,1.07
ALNTF,14.02.2014,1.2
ORMA,16.01.2014,5.25
ARFYO,16.12.2013,1.45
BURVA,12.12.2013,1.11
GUBRF,6.12.2013,4
AKGUV,5.12.2013,1.29
ETILR,3.12.2013,1.55
EDIP,2.12.2013,1.03
GDKGS,2.12.2013,1.27
EREGL,20.11.2013,1.05
CRDFA,15.11.2013,2
BRSAN,7.11.2013,5
PIMAS,7.11.2013,1.51
KUYAS,30.10.2013,1.03
ISGSY,4.10.2013,1.07
BOSSA,25.09.2013,1.05
MIPAZ,25.09.2013,1.13
DGZTE,23.09.2013,1.06
YKBYO,6.09.2013,1.26
KATMR,29.08.2013,1.05
ISBIR,26.08.2013,1.01
GARFA,22.08.2013,3.79
ATLAS,15.08.2013,1
OSMEN,14.08.2013,1.43
CLKHO,12.08.2013,1.16
KOMHL,2.08.2013,2
FENIS,29.07.2013,1.11
VAKFN,29.07.2013,1.08
TSPOR,26.07.2013,1.04
FINBN,25.07.2013,1.05
MAKTK,25.07.2013,1
ARSAN,19.07.2013,1.25
KAPLM,17.07.2013,4.17
KARSN,16.07.2013,1.08
AYES,15.07.2013,1.03
VKGYO,15.07.2013,1.01
GRNYO,9.07.2013,1.07
ITTFH,9.07.2013,2
DOCO,8.07.2013,1.02
KRDMA,4.07.2013,1.2
KRDMB,4.07.2013,1.2
KRDMD,4.07.2013,1.2
SISE,4.07.2013,1.05
TRKCM,3.07.2013,1.02
ANACM,1.07.2013,1.04
PRZMA,1.07.2013,1.77
SODA,1.07.2013,1.07
KAREL,28.06.2013,1.2
AKGUV,27.06.2013,1.43
ANHYT,27.06.2013,1.17
BTCIM,27.06.2013,1.07
ISMEN,27.06.2013,1.09
THYAO,26.06.2013,1.15
SARKY,25.06.2013,1.07
HLGYO,21.06.2013,1.02
EGPRO,20.06.2013,1.02
NTHOL,20.06.2013,1.09
RYGYO,20.06.2013,1.13
TSKB,20.06.2013,1.18
BIMAS,18.06.2013,2
EGLYO,14.06.2013,1.11
ISFIN,14.06.2013,1.09
NETAS,13.06.2013,1.12
ENKAI,12.06.2013,1.14
ISGSY,11.06.2013,1.15
DAGHL,3.06.2013,1.4
YAPRK,3.06.2013,1
ADANA,31.05.2013,1.06
ADBGR,31.05.2013,1.07
ADEL,31.05.2013,1.03
ADNAC,31.05.2013,1.04
ALARK,31.05.2013,1.01
ALCAR,31.05.2013,1.02
ALGYO,31.05.2013,1.01
ANACM,31.05.2013,1.01
ARMDA,31.05.2013,1.07
ASELS,31.05.2013,1.01
ASLAN,31.05.2013,1.01
BAGFS,31.05.2013,1.02
BOLUC,31.05.2013,1.07
BRSAN,31.05.2013,1.03
BRYAT,31.05.2013,1.04
BSOKE,31.05.2013,1.03
CRDFA,31.05.2013,1.08
DNZYO,31.05.2013,1.03
DZGYO,31.05.2013,1.03
EGGUB,31.05.2013,1.01
EMBYO,31.05.2013,1.01
ETYAT,31.05.2013,1.01
