BIMAS;1.01;20150520
YAPRK;1.0084;20150520
MCTAS;1.0199;20150521
GRNYO;1.0588;20150522
BIZIM;1.0033;20150525
TRCAS;1.0274;20150525
VKGYO;1.0119;20150526
LOGO;1.0244;20150526
BASCM;1.0197;20150526
ALKIM;1.0493;20150526
EKGYO;1.0331;20150526
EREGL;1.0907;20150526
KONYA;1.0281;20150526
INDES;1.0657;20150527
ETYAT;1.0217;20150527
EUKYO;1.0417;20150527
AKMGY;1.0806;20150527
CCOLA;1.0087;20150527
BSOKE;1.0429;20150527
DESPC;1.1054;20150527
NUHCM;1.0751;20150528
YGGYO;1.057;20150528
TTKOM;1.0751;20150528
TRKCM;1.016;20150529
YAZIC;1.0116;20150529
VAKBN;1.0086;20150529
ODAS;1.011;20150529
ORMA;1.0121;20150529
PNSUT;1.0331;20150529
PETUN;1.0573;20150529
SODA;1.0202;20150529
SISE;1.0142;20150529
DMSAS;1.082;20150529
BAGFS;1.0049;20150529
ADEL;1.0273;20150529
AEFES;1.0193;20150529
ALARK;1.0155;20150529
ALGYO;1.0204;20150529
ALCAR;1.0444;20150529
ASUZU;1.0551;20150529
ASELS;1.009;20150529
GOLTS;1.0629;20150529
GENTS;1.0645;20150529
KORDS;1.0778;20150529
KUYAS;1.0153;20150529
AYES;1.0562;20150601
CEMTS;1.0341;20150601
BTCIM;1.0128;20150602
ERBOS;1.0247;20150602
SANKO;1.02;20150602
TRGYO;1.0268;20150602
ISFIN;1.1512;20150604
TSKB;1.1648;20150605
ISMEN;1.0741;20150608
EGSER;1.0749;20150610
HLGYO;1.0648;20150611
COMDO;1.0736;20150618
AFYON;26.5274;20150622
KUTPO;1.017;20150622
BRYAT;1.0304;20150623
SRVGY;1.0128;20150623
LIDFA;1.177;20150623
TKFEN;1.024;20150625
SANKO;1.3787;20150626
ANHYT;1.079;20150626
ROYAL;1.0905;20150629
TRCAS;1.2023;20150629
ULUSE;1.0624;20150629
SARKY;1.0453;20150630
BRSAN;1.0221;20150630
KRDMD;1.0252;20150630
KRDMB;1.0184;20150630
KRDMA;1.0191;20150630
SISE;1.116;20150703
SODA;1.3124;20150703
OSMEN;1.2932;20150703
TRKCM;1.213;20150703
OZRDN;1.2197;20150706
DOCO;1.0149;20150706
OZKGY;1.5924;20150708
LKMNH;1.0207;20150713
YGGYO;2;20150713
AKGUV;1.1742;20150723
GSDHO;1.189;20150729
TMPOL;2.7;20150729
GUBRF;1.0198;20150731
SAYAS;1.1573;20150804
SARKY;1.25;20150806
ASCEL;1.0193;20150821
ANELE;1.0131;20150824
BOSSA;1.2532;20150825
PSDTC;1.0401;20150826
SNGYO;1.1053;20150827
VKING;0.6667;20150828
BAKAB;1.0574;20150831
ISBIR;1.0069;20150901
RYSAS;1.0769;20150907
ORMA;1.7143;20150907
AVISA;3.298;20150915
AKMGY;1.011;20150915
RYGYO;1.025;20150916
DENIZ;2.291;20150921
BAKAB;1.062;20150930
PNSUT;1.0409;20150930
GYHOL;1.0865;20151001
FROTO;1.0173;20151016
BIMAS;1.0068;20151021
KUYAS;2.6381;20151023
BALAT;1;20151026
GLYHO;0.9475;20151028
FINBN;1.0582;20151030
BAKAB;1.0571;20151030
SAFGY;1.134;20151030
TTRAK;1.0268;20151030
EGPRO;1.3363;20151104
ZOREN;1.1512;20151109
ENKAI;1.0137;20151111
HEKTS;1.0892;20151127
ACSEL;9.8945;20151201
AKGUV;1.0307;20151207
ASLAN;1.0164;20151210
KRDMA;1.0314;20151211
KRDMB;1.027;20151211
KRDMD;1.039;20151211
ADANA;1.1105;20151215
ADBGR;1.1194;20151215
ADNAC;1.1024;20151215
BOLUC;1.0326;20151215
UNYEC;1.1218;20151215
MRDIN;1.1357;20151215
LIDFA;1.2381;20151215
EMKEL;1.0087;20151221
MEPET;1.0327;20151228
PRKME;1.2093;20151231
KENT;1.0123;20160126
AKFEN;0.9434;20160128
PETKM;1.5;20160129
DAGI;1.4931;20160308
GEDIK;1.2;20160310
EMNIS;0.3431;20160316
